CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,fullname
11000,MR.,JON,YANG,1966-04-08,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y,MR.JONYANG
11001,MR.,EUGENE,HUANG,1965-05-14,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N,MR.EUGENEHUANG
11002,MR.,RUBEN,TORRES,1965-08-12,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,MR.RUBENTORRES
11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MS.CHRISTYZHU
11004,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,MRS.ELIZABETHJOHNSON
11005,MR.,JULIO,RUIZ,1965-08-05,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,MR.JULIORUIZ
11007,MR.,MARCO,MEHTA,1964-05-09,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,MR.MARCOMEHTA
11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,MRS.ROBINVERHOFF
11009,MR.,SHANNON,CARLSON,1964-04-01,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MR.SHANNONCARLSON
11010,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,MS.JACQUELYNSUAREZ
11011,MR.,CURTIS,LU,1963-11-04,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,MR.CURTISLU
11012,MRS.,LAUREN,WALKER,1968-01-18,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,MRS.LAURENWALKER
11013,MR.,IAN,JENKINS,1968-08-06,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,MR.IANJENKINS
11014,MRS.,SYDNEY,BENNETT,1968-05-09,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N,MRS.SYDNEYBENNETT
11015,MS.,CHLOE,YOUNG,1979-02-27,S,F,chloe23@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,N,MS.CHLOEYOUNG
11016,MR.,WYATT,HILL,1979-04-28,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,MR.WYATTHILL
11017,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,MRS.SHANNONWANG
11018,MR.,CLARENCE,RAI,1944-10-09,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,MR.CLARENCERAI
11019,MR.,LUKE,LAL,1978-03-07,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MR.LUKELAL
11020,MR.,JORDAN,KING,1978-09-20,S,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,MR.JORDANKING
11021,MS.,DESTINY,WILSON,1978-09-03,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,MS.DESTINYWILSON
11022,MR.,ETHAN,ZHANG,1978-10-12,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,MR.ETHANZHANG
11023,MR.,SETH,EDWARDS,1978-10-11,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,MR.SETHEDWARDS
11024,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,MR.RUSSELLXIE
11025,,ALEJANDRO,BECK,1945-12-23,M,NA,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,ALEJANDROBECK
11026,MR.,HAROLD,SAI,1946-04-03,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,MR.HAROLDSAI
11027,MR.,JESSIE,ZHAO,1946-12-07,M,M,jessie16@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,MR.JESSIEZHAO
11028,MRS.,JILL,JIMENEZ,1946-04-11,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,MRS.JILLJIMENEZ
11029,MR.,JIMMY,MORENO,1946-12-21,M,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,MR.JIMMYMORENO
11030,MRS.,BETHANY,YUAN,1947-02-22,M,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,MRS.BETHANYYUAN
11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,MRS.THERESARAMOS
11032,MRS.,DENISE,STONE,1947-06-11,M,F,denise10@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,MRS.DENISESTONE
11033,MR.,JAIME,NATH,1947-09-23,M,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,MR.JAIMENATH
11034,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,MRS.EBONYGONZALEZ
11035,,WENDY,DOMINGUEZ,1948-02-24,M,NA,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,WENDYDOMINGUEZ
11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,MS.JENNIFERRUSSELL
11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N,MS.CHLOEGARCIA
11038,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,MRS.DIANAHERNANDEZ
11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y,MR.MARCMARTIN
11040,MR.,JESSE,MURPHY,1977-08-01,M,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,MR.JESSEMURPHY
11041,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,MS.AMANDACARTER
11042,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y,MS.MEGANSANCHEZ
11043,MR.,NATHAN,SIMMONS,1976-02-24,M,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,MR.NATHANSIMMONS
11044,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y,MR.ADAMFLORES
11045,MR.,LEONARD,NARA,1950-05-19,S,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,MR.LEONARDNARA
11046,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,MRS.CHRISTINEYUAN
11047,MRS.,JACLYN,LU,1950-02-27,M,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,MRS.JACLYNLU
11048,MR.,JEREMY,POWELL,1950-11-22,M,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,MR.JEREMYPOWELL
11049,MS.,CAROL,RAI,1980-07-18,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y,MS.CAROLRAI
11050,MR.,ALAN,ZHENG,1951-09-07,M,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,MR.ALANZHENG
11051,MR.,DANIEL,JOHNSON,1951-08-04,S,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,MR.DANIELJOHNSON
11052,MRS.,HEIDI,LOPEZ,1951-08-07,S,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N,MRS.HEIDILOPEZ
11053,MS.,ANA,PRICE,1980-08-20,M,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,MS.ANAPRICE
11054,MRS.,DEANNA,MUNOZ,1952-03-10,M,F,deanna33@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y,MRS.DEANNAMUNOZ
11055,MR.,GILBERT,RAJE,1952-03-05,M,M,gilbert35@adventure-works.com,"$40,000 ",2,Partial College,Skilled Manual,Y,MR.GILBERTRAJE
11056,MRS.,MICHELE,NATH,1953-04-03,M,F,michele19@adventure-works.com,"$40,000 ",3,Partial College,Skilled Manual,Y,MRS.MICHELENATH
11057,MR.,CARL,ANDERSEN,1953-10-12,M,M,carl12@adventure-works.com,"$70,000 ",2,Graduate Degree,Management,Y,MR.CARLANDERSEN
11058,MR.,MARC,DIAZ,1954-04-27,M,M,marc6@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,MR.MARCDIAZ
11059,MRS.,ASHLEE,ANDERSEN,1954-04-01,S,F,ashlee19@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,MRS.ASHLEEANDERSEN
11060,MR.,JON,ZHOU,1954-03-17,M,M,jon28@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,MR.JONZHOU
11061,MR.,TODD,GAO,1954-02-27,M,M,todd14@adventure-works.com,"$80,000 ",2,Partial College,Skilled Manual,Y,MR.TODDGAO
11062,MR.,NOAH,POWELL,1975-09-02,M,M,noah5@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MR.NOAHPOWELL
11063,MS.,ANGELA,MURPHY,1975-04-07,S,F,angela41@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MS.ANGELAMURPHY
11064,MR.,CHASE,REED,1975-12-07,M,M,chase21@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y,MR.CHASEREED
11065,MS.,JESSICA,HENDERSON,1973-10-09,M,F,jessica29@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,MS.JESSICAHENDERSON
11066,MS.,GRACE,BUTLER,1973-11-27,M,F,grace62@adventure-works.com,"$70,000 ",0,Partial College,Professional,Y,MS.GRACEBUTLER
11067,MR.,CALEB,CARTER,1976-09-25,S,M,caleb40@adventure-works.com,"$60,000 ",0,Partial College,Professional,Y,MR.CALEBCARTER
11068,MRS.,TIFFANY,LIANG,1955-09-23,S,F,tiffany17@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,MRS.TIFFANYLIANG
11069,MRS.,CAROLYN,NAVARRO,1955-09-21,S,F,carolyn30@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N,MRS.CAROLYNNAVARRO
11070,MR.,WILLIE,RAJI,1955-04-05,M,M,willie40@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,MR.WILLIERAJI
11071,MRS.,LINDA,SERRANO,1955-06-26,S,F,linda31@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,Y,MRS.LINDASERRANO
11072,MRS.,CASEY,LUO,1955-02-06,S,F,casey6@adventure-works.com,"$80,000 ",2,High School,Skilled Manual,N,MRS.CASEYLUO
11073,MRS.,AMY,YE,1956-08-14,S,F,amy16@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y,MRS.AMYYE
11074,MR.,LEVI,ARUN,1956-08-28,S,M,levi6@adventure-works.com,"$70,000 ",2,High School,Skilled Manual,Y,MR.LEVIARUN
11075,MRS.,FELICIA,JIMENEZ,1957-11-16,S,F,felicia4@adventure-works.com,"$80,000 ",2,High School,Professional,Y,MRS.FELICIAJIMENEZ
11076,MR.,BLAKE,ANDERSON,1957-07-13,S,M,blake9@adventure-works.com,"$80,000 ",2,High School,Professional,Y,MR.BLAKEANDERSON
11077,MRS.,LEAH,YE,1957-09-19,S,F,leah7@adventure-works.com,"$80,000 ",2,High School,Professional,N,MRS.LEAHYE
11078,MS.,GINA,MARTIN,1974-01-10,S,F,gina1@adventure-works.com,"$40,000 ",0,High School,Professional,N,MS.GINAMARTIN
11079,MR.,DONALD,GONZALEZ,1959-03-11,S,M,donald20@adventure-works.com,"$160,000 ",0,Graduate Degree,Management,Y,MR.DONALDGONZALEZ
11080,MR.,DAMIEN,CHANDER,1959-07-17,M,M,damien32@adventure-works.com,"$170,000 ",0,Graduate Degree,Management,Y,MR.DAMIENCHANDER
